Formula,Compound Name,CAS ID,Mass,RT,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,48_T1,48_T2,48_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,BlankSub_Median_53_T,BlankSub_Median_54_T,BlankSub_Median_55_T,BlankSub_Median_56_T,BlankSub_Median_57_T,BlankSub_Median_58_T,BlankSub_Median_59_T,BlankSub_Median_45_T,BlankSub_Median_46_T,BlankSub_Median_47_T,BlankSub_Median_48_T,BlankSub_Median_49_T,BlankSub_Median_50_T,BlankSub_Median_51_T,BlankSub_Median_52_T
1000.6437@11.053001,1000.6437@11.053001,,1000.6437,11.053001,,,,672186.0,651902.0,673558.0,639844.0,382851.0,588702.0,639244.0,569568.0,640910.0,656589.0,637574.0,537194.0,618566.0,815913.0,615488.0,578903.0,318978.0,622810.0,563930.0,667844.0,693800.0,585073.0,607108.0,593152.0,547504.0,807657.0,846509.0,,984381.0,784459.0,674889.0,790161.0,739843.0,697653.0,798688.0,678389.0,696244.0,825524.0,886128.0,765982.0,762209.0,782305.0,715392.0,641099.0,784242.0,648194.0,721275.0,705206.0,672186.0,588702.0,639244.0,637574.0,618566.0,578903.0,667844.0,807657.0,884420.0,739843.0,697653.0,825524.0,765982.0,715392.0,705206.0
1000.6621@11.420998,1000.6621@11.420998,,1000.6621,11.420997999999999,,,,160938.0,566281.0,49653.0,,,,437623.0,,,,,,,56490.0,47620.0,361077.0,47140.0,,318500.0,,,523870.0,570932.0,90111.0,34387.0,41529.0,34927.0,,49317.0,38119.0,31009.0,383313.0,,45271.0,64000.0,41603.0,83703.0,65112.0,72982.0,54340.0,52841.0,54677.0,63798.0,176903.0,69345.0,60939.0,88325.0,181418.0,160938.0,,437623.0,,52055.0,204108.0,318500.0,34927.0,43718.0,207161.0,45271.0,72982.0,54340.0,69345.0,88325.0
1002.4875@8.764005,1002.4875@8.764005,,1002.4875,8.764005000000001,,,,42644.0,40326.0,48502.0,52041.0,25771.0,51581.0,41180.0,33275.0,37252.0,31950.0,27902.0,23691.0,24851.0,45863.0,31121.0,34022.0,16746.0,40182.0,30963.0,37133.0,35885.0,31326.0,34291.0,30436.0,33056.0,44805.0,12672.0,,67300.0,,,14000.0,40564.0,,13149.0,,31103.0,38677.0,46745.0,33839.0,32541.0,32723.0,45085.0,40147.0,50393.0,38748.0,39208.0,33081.0,42644.0,51581.0,37252.0,27902.0,31121.0,34022.0,35885.0,33056.0,67300.0,27282.0,13149.0,38677.0,32723.0,45085.0,38748.0
1003.7948@1.1339997,1003.7948@1.1339997,,1003.7948,1.1339997,,,,14114.0,23422.0,,,,,,,26478.0,,,11567.0,20487.0,,,,,,,,19817.0,13229.0,,,38763.0,32454.0,32722.0,,32968.0,31605.0,42119.0,38039.0,41438.0,48802.0,41373.0,40954.0,36878.0,36512.0,34882.0,45395.0,43873.0,45967.0,25225.0,20819.0,22350.0,20997.0,18049.0,34121.0,18768.0,,26478.0,11567.0,20487.0,,19817.0,32722.0,32286.0,41438.0,41373.0,36512.0,45395.0,22350.0,20997.0
1004.7353@14.211996,1004.7353@14.211996,,1004.7353,14.211996,,,,220863.0,,,,,,,,,,,,,,,,,69440.0,,,,,,,63265.0,,,,,,,,,,,,,,,,25780.0,,,,,241764.0,,142021.0,220863.0,,,,,69440.0,,63265.0,,,,,25780.0,,191892.0
1006.6284@11.429996,1006.6284@11.429996,,1006.6284,11.429996000000001,,,,,,,,462730.0,,,,,779003.0,723718.0,650310.0,652675.0,848364.0,664821.0,,360664.0,689934.0,,722120.0,,,,674540.0,,642268.0,787744.0,,,,,793030.0,715773.0,719170.0,768557.0,686941.0,,,903848.0,699263.0,,,,,,,710584.0,,,462730.0,,723718.0,664821.0,525299.0,722120.0,715006.0,,754402.0,719170.0,903848.0,699263.0,,710584.0
1006.752@14.236003,1006.752@14.236003,,1006.752,14.236003,,,,302356.0,,,,,,,,,,,,,,,,,250644.0,,,,,,,54835.0,58916.0,53322.0,,23627.0,,15089.0,,,13880.0,,,,,,,30821.0,,,,,190658.0,,93543.0,302356.0,,,,,250644.0,,54835.0,23627.0,15089.0,13880.0,,30821.0,,142100.0
1006.7705@14.239995,1006.7705@14.239995,,1006.7705,14.239995,,,,84522.0,,,,,,,,,,,,,,,,,316572.0,,,,,,,71782.0,87448.0,105268.0,,36979.0,40517.0,54511.0,,,97385.0,,97492.0,,,,42657.0,59774.0,26766.0,,,,147869.0,,141316.0,84522.0,,,,,316572.0,,87448.0,38748.0,54511.0,97438.0,,42657.0,,144592.0
1008.5878@12.1690035,1008.5878@12.1690035,,1008.5878,12.1690035,,,,76918.0,67089.0,133140.0,66472.0,,60036.0,50345.0,42274.0,67487.0,81863.0,67980.0,46330.0,92021.0,113782.0,74209.0,142149.0,48480.0,141262.0,55955.0,103033.0,134165.0,35842.0,42978.0,40580.0,321032.0,543723.0,680111.0,101826.0,734102.0,585155.0,139880.0,256985.0,154216.0,253628.0,294582.0,341248.0,92932.0,161748.0,277805.0,609343.0,787013.0,786933.0,137968.0,290582.0,296889.0,109765.0,107317.0,53995.0,76918.0,63254.0,50345.0,67980.0,92021.0,141262.0,103033.0,543723.0,585155.0,154216.0,294582.0,161748.0,786933.0,290582.0,107317.0
1012.6672@11.767003,1012.6672@11.767003,,1012.6672,11.767003,,,,75424.0,79153.0,91264.0,87868.0,56922.0,237096.0,79952.0,66281.0,81283.0,97631.0,84454.0,78984.0,49887.0,71659.0,71060.0,63869.0,48101.0,71625.0,63227.0,83593.0,76034.0,72612.0,79673.0,77100.0,65475.0,62023.0,81197.0,,97465.0,75683.0,74483.0,85378.0,92263.0,788185.0,92808.0,86902.0,67977.0,109463.0,117119.0,95412.0,88268.0,114245.0,57206.0,58985.0,71742.0,72297.0,61138.0,38533.0,79153.0,87868.0,79952.0,84454.0,71060.0,63869.0,76034.0,65475.0,86574.0,85378.0,92808.0,109463.0,95412.0,58985.0,61138.0
