Compound,Ionization_Mode,Score,Mass,Retention_Time,Frequency,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,48_T1,48_T2,48_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,Mean_MB,Median_MB,STD_MB,CV_MB,N_Abun_MB,Mean_53_T,Median_53_T,STD_53_T,CV_53_T,N_Abun_53_T,Mean_54_T,Median_54_T,STD_54_T,CV_54_T,N_Abun_54_T,Mean_55_T,Median_55_T,STD_55_T,CV_55_T,N_Abun_55_T,Mean_56_T,Median_56_T,STD_56_T,CV_56_T,N_Abun_56_T,Mean_57_T,Median_57_T,STD_57_T,CV_57_T,N_Abun_57_T,Mean_58_T,Median_58_T,STD_58_T,CV_58_T,N_Abun_58_T,Mean_59_T,Median_59_T,STD_59_T,CV_59_T,N_Abun_59_T,Mean_60_T,Median_60_T,STD_60_T,CV_60_T,N_Abun_60_T,Mean_45_T,Median_45_T,STD_45_T,CV_45_T,N_Abun_45_T,Mean_46_T,Median_46_T,STD_46_T,CV_46_T,N_Abun_46_T,Mean_47_T,Median_47_T,STD_47_T,CV_47_T,N_Abun_47_T,Mean_48_T,Median_48_T,STD_48_T,CV_48_T,N_Abun_48_T,Mean_49_T,Median_49_T,STD_49_T,CV_49_T,N_Abun_49_T,Mean_50_T,Median_50_T,STD_50_T,CV_50_T,N_Abun_50_T,Mean_51_T,Median_51_T,STD_51_T,CV_51_T,N_Abun_51_T,Mean_52_T,Median_52_T,STD_52_T,CV_52_T,N_Abun_52_T,is_Formate_Adduct,has_Formate_Adduct,unique_Formate_Number,is_H2O_Adduct,has_H2O_Adduct,unique_H2O_Number,is_Ammonium_Adduct,has_Ammonium_Adduct,unique_Ammonium_Number,is_CO2_Adduct,has_CO2_Adduct,unique_CO2_Number,is_Na_Adduct,has_Na_Adduct,unique_Na_Number,Rounded_Mass,Median_ALLSamples,SampletoBlanks_ratio,Median_ALLMB,BlankSub_Median_53_T,BlankSub_Median_54_T,BlankSub_Median_55_T,BlankSub_Median_56_T,BlankSub_Median_57_T,BlankSub_Median_58_T,BlankSub_Median_59_T,BlankSub_Median_60_T,BlankSub_Median_45_T,BlankSub_Median_46_T,BlankSub_Median_47_T,BlankSub_Median_48_T,BlankSub_Median_49_T,BlankSub_Median_50_T,BlankSub_Median_51_T,BlankSub_Median_52_T,BlankSub_Median_ALLSamples
C4H8O3 1.3339998,,87.78,104.0472,1.3339998,51,,,,175040.0,168475.0,194369.0,212216.0,150250.0,175654.0,259426.0,232216.0,210400.0,399957.0,373379.0,308779.0,96641.0,462517.0,405483.0,309394.0,181840.0,318724.0,288594.0,290467.0,286826.0,436463.0,431509.0,448484.0,,,,,,,200901.0,,,,527924.0,,,,,,,,,,,,,413748.0,,,,,0,179295.0,175040.0,13461.0,0.08,3,179373.0,175654.0,31150.0,0.17,3,234014.0,232216.0,24562.0,0.1,3,360705.0,373379.0,46892.0,0.13,3,321547.0,405483.0,196851.0,0.61,3,269986.0,309394.0,76479.0,0.28,3,288629.0,288594.0,1821.0,0.01,3,438819.0,436463.0,8729.0,0.02,3,,,,,0,,,,,0,200901.0,200901.0,,,1,527924.0,527924.0,,,1,,,,,0,,,,,0,,,,,0,413748.0,413748.0,,,1,,,,,,,,,,,,,,,,104.0,309394.0,,0.0,175040.0,175654.0,232216.0,373379.0,405483.0,309394.0,288594.0,436463.0,,,200901.0,527924.0,,,,413748.0,309394.0
C4H8O3 1.5839998,,87.68,104.0472,1.5839998,51,,,,175044.0,171884.0,194357.0,210904.0,150250.0,172575.0,257313.0,232244.0,210400.0,396089.0,373379.0,314522.0,96454.0,464362.0,405483.0,309394.0,179386.0,318447.0,284906.0,290514.0,286826.0,437354.0,431509.0,448484.0,337866.0,3743414.0,921705.0,103890.0,4030281.0,243626.0,200946.0,1448869.0,4564166.0,1165525.0,538065.0,996402.0,4738679.0,5414305.0,5417295.0,5086771.0,5137891.0,4537441.0,4492855.0,3454004.0,4322908.0,2730443.0,3704097.0,413748.0,,,,,0,180428.0,175044.0,12166.0,0.07,3,177910.0,172575.0,30677.0,0.17,3,233319.0,232244.0,23475.0,0.1,3,361330.0,373379.0,42097.0,0.12,3,322100.0,405483.0,197620.0,0.61,3,269076.0,309394.0,77805.0,0.29,3,287415.0,286826.0,2850.0,0.01,3,439116.0,437354.0,8624.0,0.02,3,1667662.0,921705.0,1821202.0,1.09,3,1459266.0,243626.0,2227661.0,1.53,3,2071327.0,1448869.0,2247223.0,1.08,3,899997.0,996402.0,324649.0,0.36,3,5190093.0,5414305.0,390939.0,0.08,3,4920701.0,5086771.0,332896.0,0.07,3,4089922.0,4322908.0,557238.0,0.14,3,2282763.0,2730443.0,1690240.0,0.74,3,,,,,,,,,,,,,,,,104.0,421418.0,,0.0,175044.0,172575.0,232244.0,373379.0,405483.0,309394.0,286826.0,437354.0,921705.0,243626.0,1448869.0,996402.0,5414305.0,5086771.0,4322908.0,2730443.0,421418.0
C4H8O3,,87.69,104.0472,1.972,51,,,,2907307.0,2658350.0,2490899.0,2863381.0,1601241.0,3050203.0,3332242.0,2700862.0,3135316.0,3099691.0,3008117.0,3345983.0,437594.0,5077015.0,3655049.0,3991928.0,1869564.0,4020326.0,2466487.0,3290207.0,1925296.0,3569979.0,3680244.0,3734137.0,1759485.0,3758259.0,921705.0,103890.0,4032876.0,243626.0,577169.0,1464426.0,4587829.0,1179407.0,1262941.0,996627.0,4769576.0,5446783.0,5419291.0,5119796.0,5162456.0,4551168.0,4512389.0,3466794.0,4315199.0,2738009.0,3719235.0,1135931.0,,,,,0,2685519.0,2658350.0,209529.0,0.08,3,2504942.0,2863381.0,788183.0,0.31,3,3056140.0,3135316.0,323051.0,0.11,3,3151264.0,3099691.0,174737.0,0.06,3,3056553.0,3655049.0,2376911.0,0.78,3,3293939.0,3991928.0,1233627.0,0.37,3,2560663.0,2466487.0,687312.0,0.27,3,3661453.0,3680244.0,83677.0,0.02,3,2146483.0,1759485.0,1457338.0,0.68,3,1460131.0,243626.0,2229158.0,1.53,3,2209808.0,1464426.0,2106667.0,0.95,3,1146325.0,1179407.0,136204.0,0.12,3,5211883.0,5419291.0,383296.0,0.07,3,4944473.0,5119796.0,341280.0,0.07,3,4098127.0,4315199.0,555569.0,0.14,3,2531058.0,2738009.0,1304027.0,0.52,3,,,,,,,,,,,,,,,,104.0,2981536.0,,0.0,2658350.0,2863381.0,3135316.0,3099691.0,3655049.0,3991928.0,2466487.0,3680244.0,1759485.0,243626.0,1464426.0,1179407.0,5419291.0,5119796.0,4315199.0,2738009.0,2981536.0
CHNO3S,,76.93,106.9676,0.9900003,44,,,,,,63647.0,,,,,,,,,,,,,,,,,,,,,,371405.0,507231.0,,,,,,,,,,,,,,,90651.0,65659.0,,,,,,,,,,,0,63647.0,63647.0,,,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,439318.0,439318.0,96043.0,0.22,2,,,,,0,,,,,0,,,,,0,,,,,0,78155.0,78155.0,17672.0,0.23,2,,,,,0,,,,,0,,,,,,,,,,,,,,,,107.0,78155.0,,0.0,63647.0,,,,,,,,439318.0,,,,,78155.0,,,78155.0
C2HF3O2 14.221004,,84.63,113.9935,14.221004,51,,,,208730.0,630783.0,,,33845.0,,,20479.0,,67738.0,50624.0,72159.0,83605.0,306176.0,56052.0,31075.0,,394360.0,68925.0,49450.0,62947.0,34482.0,,,511044.0,729338.0,1924927.0,974624.0,665968.0,2022245.0,2407338.0,553297.0,427164.0,1745425.0,2203818.0,1763156.0,1519551.0,276502.0,338179.0,706706.0,614796.0,334378.0,294877.0,138966.0,554030.0,1061827.0,169711.0,1188475.0,,,,,0,419756.0,419756.0,298437.0,0.71,2,33845.0,33845.0,,,1,20479.0,20479.0,,,1,63507.0,67738.0,11374.0,0.18,3,148611.0,83605.0,137149.0,0.92,3,212718.0,212718.0,256881.0,1.21,2,60441.0,62947.0,9976.0,0.17,3,34482.0,34482.0,,,1,1055103.0,729338.0,761156.0,0.72,3,1220946.0,974624.0,710899.0,0.58,3,1129266.0,553297.0,1108638.0,0.98,3,1904133.0,1763156.0,259686.0,0.14,3,711411.0,338179.0,700549.0,0.98,3,551960.0,614796.0,193954.0,0.35,3,329291.0,294877.0,209661.0,0.64,3,806671.0,1061827.0,555246.0,0.69,3,,,,,,,,,,,,,,,,114.0,316528.0,,0.0,419756.0,33845.0,20479.0,67738.0,83605.0,212718.0,62947.0,34482.0,729338.0,974624.0,553297.0,1763156.0,338179.0,614796.0,294877.0,1061827.0,316528.0
C5H6O3,,87.54,114.0313,5.987,51,,,,77846.0,78474.0,74135.0,74490.0,28191.0,73738.0,66760.0,53091.0,61620.0,47851.0,36539.0,35545.0,31072.0,74953.0,40379.0,74590.0,25648.0,97518.0,59971.0,84752.0,80152.0,55673.0,54752.0,53837.0,48517.0,102323.0,,,151393.0,,,,69089.0,,,,54739.0,72040.0,105693.0,97370.0,97196.0,95476.0,103928.0,100341.0,135602.0,84238.0,77803.0,49861.0,,,,,0,76818.0,77846.0,2345.0,0.03,3,58806.0,73738.0,26516.0,0.45,3,60490.0,61620.0,6904.0,0.11,3,39978.0,36539.0,6836.0,0.17,3,48801.0,40379.0,23121.0,0.47,3,65919.0,74590.0,36711.0,0.56,3,74958.0,80152.0,13182.0,0.18,3,54754.0,54752.0,918.0,0.02,3,75420.0,75420.0,38047.0,0.5,2,151393.0,151393.0,,,1,69089.0,69089.0,,,1,,,,,0,77491.0,72040.0,25911.0,0.33,3,96681.0,97196.0,1047.0,0.01,3,113290.0,103928.0,19406.0,0.17,3,70634.0,77803.0,18275.0,0.26,3,,,,,,,,,,,,,,,,114.0,74590.0,,0.0,77846.0,73738.0,61620.0,36539.0,40379.0,74590.0,80152.0,54752.0,75420.0,151393.0,69089.0,,72040.0,97196.0,103928.0,77803.0,74590.0
C5H8O3 1.3110005,,81.3,116.046,1.3110005,51,,,,127439.0,77810.0,96655.0,54132.0,19098.0,45147.0,64132.0,27223.0,165708.0,14153.0,14254.0,27295.0,,137550.0,80664.0,49145.0,26621.0,85854.0,23606.0,80322.0,,118052.0,96175.0,107859.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100635.0,96655.0,25053.0,0.25,3,39459.0,45147.0,18196.0,0.46,3,85688.0,64132.0,71715.0,0.84,3,18567.0,14254.0,7559.0,0.41,3,109107.0,109107.0,40224.0,0.37,2,53873.0,49145.0,29898.0,0.55,3,51964.0,51964.0,40104.0,0.77,2,107362.0,107859.0,10947.0,0.1,3,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,116.0,58048.0,,0.0,96655.0,45147.0,64132.0,14254.0,109107.0,49145.0,51964.0,107859.0,,,,,,,,,58048.0
C5H8O3,,87.78,116.0471,1.8720009999999998,51,,,,372541.0,198773.0,278765.0,128781.0,40753.0,166233.0,187768.0,83678.0,383811.0,29417.0,43373.0,80833.0,,361919.0,216641.0,150594.0,66089.0,247948.0,72413.0,193498.0,,325062.0,298980.0,370773.0,84342.0,40561.0,,,1351264.0,,,226909.0,1139616.0,,,,1423084.0,1194917.0,1374728.0,277953.0,374671.0,280053.0,826993.0,744908.0,898012.0,356687.0,688834.0,240668.0,,,,,0,283360.0,278765.0,86975.0,0.31,3,111922.0,128781.0,64416.0,0.58,3,218419.0,187768.0,152396.0,0.7,3,51208.0,43373.0,26588.0,0.52,3,289280.0,289280.0,102727.0,0.36,2,154877.0,150594.0,91005.0,0.59,3,132956.0,132956.0,85620.0,0.64,2,331605.0,325062.0,36341.0,0.11,3,62452.0,62452.0,30958.0,0.5,2,1351264.0,1351264.0,,,1,683262.0,683262.0,645381.0,0.94,2,,,,,0,1330910.0,1374728.0,120229.0,0.09,3,310892.0,280053.0,55244.0,0.18,3,823304.0,826993.0,76619.0,0.09,3,428730.0,356687.0,232607.0,0.54,3,,,,,,,,,,,,,,,,116.0,280053.0,,0.0,278765.0,128781.0,187768.0,43373.0,289280.0,150594.0,132956.0,325062.0,62452.0,1351264.0,683262.0,,1374728.0,280053.0,826993.0,356687.0,280053.0
C4H6O4,,86.27,118.0258,1.2949991,50,,,,145947.0,140453.0,106427.0,136051.0,75881.0,147000.0,63817.0,31611.0,106952.0,46989.0,53969.0,125687.0,19045.0,242308.0,146755.0,172981.0,88126.0,157453.0,34186.0,154703.0,45073.0,89562.0,110444.0,119293.0,214580.0,332278.0,102874.0,,212585.0,,70199.0,74087.0,129954.0,104814.0,119758.0,81541.0,184634.0,241889.0,272185.0,305291.0,287442.0,93190.0,186245.0,29934.0,172200.0,101071.0,44820.0,107873.0,,,,,0,130942.0,140453.0,21408.0,0.16,3,119644.0,136051.0,38293.0,0.32,3,67460.0,63817.0,37802.0,0.56,3,75548.0,53969.0,43561.0,0.58,3,136036.0,146755.0,112017.0,0.82,3,139520.0,157453.0,45181.0,0.32,3,77987.0,45073.0,66660.0,0.85,3,106433.0,110444.0,15266.0,0.14,3,216577.0,214580.0,114715.0,0.53,3,212585.0,212585.0,,,1,91413.0,74087.0,33434.0,0.37,3,102038.0,104814.0,19259.0,0.19,3,232903.0,241889.0,44462.0,0.19,3,228641.0,287442.0,117643.0,0.51,3,129460.0,172200.0,86477.0,0.67,3,84588.0,101071.0,34608.0,0.41,3,,,,,,,,,,,,,,,,118.0,138252.0,,0.0,140453.0,136051.0,63817.0,53969.0,146755.0,157453.0,45073.0,110444.0,214580.0,212585.0,74087.0,104814.0,241889.0,287442.0,172200.0,101071.0,138252.0
C5H10O3 2.847,,87.8,118.06299999999999,2.847,51,,,,147409.0,142074.0,134604.0,140996.0,75113.0,145958.0,145995.0,106334.0,116340.0,136423.0,130702.0,122574.0,40492.0,184283.0,122987.0,168138.0,77594.0,186796.0,120458.0,144263.0,126934.0,127612.0,125378.0,121052.0,87067.0,178946.0,44414.0,60392.0,223980.0,125286.0,34512.0,51517.0,173799.0,47631.0,62869.0,36136.0,178334.0,213346.0,232859.0,202302.0,205776.0,200453.0,225873.0,171458.0,233155.0,144987.0,157628.0,76398.0,,,,,0,141362.0,142074.0,6432.0,0.05,3,120689.0,140996.0,39548.0,0.33,3,122890.0,116340.0,20626.0,0.17,3,129900.0,130702.0,6959.0,0.05,3,115921.0,122987.0,72155.0,0.62,3,144176.0,168138.0,58411.0,0.41,3,130552.0,126934.0,12308.0,0.09,3,124681.0,125378.0,3335.0,0.03,3,103476.0,87067.0,68751.0,0.66,3,136553.0,125286.0,82374.0,0.6,3,86609.0,51517.0,75986.0,0.88,3,48879.0,47631.0,13410.0,0.27,3,208180.0,213346.0,27627.0,0.13,3,202844.0,202302.0,2703.0,0.01,3,210162.0,225873.0,33716.0,0.16,3,126338.0,144987.0,43708.0,0.35,3,,,,,,,,,,,,,,,,118.0,128818.0,,0.0,142074.0,140996.0,116340.0,130702.0,122987.0,168138.0,126934.0,125378.0,87067.0,125286.0,51517.0,47631.0,213346.0,202302.0,225873.0,144987.0,128818.0
